service_name,control_domain,asb_control_id,asb_control_title,guidance,responsibility,feature_name,feature_description,feature_supported,feature_enabled_by_default,feature_reference,feature_notes,guidance_notes,applicability,newly_applicable,automation_class,applicability_original,reclassification_confidence,reclassification_rationale,verdict_2025,path_b_rationale,script_function
api-management,Identity Management,IM-1,Use centralized identity and authentication system,"Use Azure Active Directory (Azure AD) as the default authentication method for API Management where possible.

- Configure your Azure API Management Developer Portal to authenticate developer accounts by using Azure AD.
- Configure your Azure API Management instance to protect your APIs by using the OAuth 2.0 protocol with Azure AD.",Customer,Azure AD Authentication Required for Data Plane Access,Service supports using Azure AD authentication for data plane access.,True,False,Protect an API in Azure API Management using OAuth 2.0 authorization with Azure Active Directory: https://docs.microsoft.com/azure/api-management/api-management-howto-protect-backend-with-aad,,,customer,False,script_simple,customer,high,Compliance verification via Azure API Management portal settings property check.,applicable,,check_im1_aad_auth
api-management,Asset Management,AM-5,Use only approved applications in virtual machine,This feature is not applicable to secure this service.,Not Applicable,Microsoft Defender for Cloud - Adaptive Application Controls,Service can limit what customer applications run on the virtual machine using Adaptive Application Controls in Microsoft Defender for Cloud.,Not Applicable,Not Applicable,,,,customer,True,script_simple,not_applicable,high,Defender for Cloud application control policy compliance is readily checkable via Azure Policy.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_am5_defender_aac
api-management,Identity Management,IM-8,Restrict the exposure of credential and secrets,Set up integration of API Management with Azure Key Vault. Ensure that secrets for API Management (Named values) are stored an Azure Key Vault so they can be securely accessed and updated.,Customer,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Data plane supports native use of Azure Key Vault for credential and secrets store.,True,False,Use named values in Azure API Management policies with Key Vault Integration: https://docs.microsoft.com/azure/api-management/api-management-howto-properties,,,customer,False,script_medium,customer,high,Native Azure Key Vault integration enables automated secret management and compliance checks via Azure Policy or scripting.,applicable,,check_im8_keyvault_secrets
api-management,Endpoint security,ES-2,Use modern anti-malware software,This feature is not applicable to secure this service.,Not Applicable,Anti-Malware Solution,"Anti-malware feature such as Microsoft Defender Antivirus, Microsoft Defender for Endpoint can be deployed on the endpoint.",Not Applicable,Not Applicable,,,,not_applicable,False,script_simple,not_applicable,high,Enforceable via Azure Policy and Microsoft Defender for Endpoint.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_es2_antimalware
api-management,Endpoint security,ES-3,Ensure anti-malware software and signatures are updated,This feature is not applicable to secure this service.,Not Applicable,Anti-Malware Solution Health Monitoring,"Anti-malware solution provides health status monitoring for platform, engine, and automatic signature updates.",Not Applicable,Not Applicable,,,,customer,True,script_medium,not_applicable,high,Achievable via Microsoft Defender for Cloud's native monitoring and policy enforcement on compute services.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_es3_antimalware_health
api-management,Posture and Vulnerability Management,PV-3,Define and establish secure configurations for compute resources,This feature is not applicable to secure this service.,Not Applicable,Azure Automation State Configuration,Azure Automation State Configuration can be used to maintain the security configuration of the operating system.,Not Applicable,Not Applicable,,,,customer,True,script_medium,not_applicable,high,Azure Automation State Configuration is a native Azure feature enabling declarative security configuration management for compute resources.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_pv3_automation_state
api-management,Posture and Vulnerability Management,PV-6,Rapidly and automatically remediate  vulnerabilities,This feature is not applicable to secure this service.,Not Applicable,Azure Automation Update Management,Service can use Azure Automation Update Management to deploy patches and updates automatically.,Not Applicable,Not Applicable,,,,not_applicable,False,script_simple,not_applicable,high,"Azure Update Management automatically applies security updates on VMs, remediating vulnerabilities.",still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_pv6_update_mgmt
api-management,Backup and recovery,BR-1,Ensure regular automated backups,This feature is not supported to secure this service.,Not Applicable,Azure Backup,The service can be backed up by the Azure Backup service.,False,Not Applicable,,,,customer,True,script_simple,not_applicable,high,"Native Azure App Service Backup feature enables fully automated, compliant backups via simple scripts without third-party tools.",now_applicable_native,APIM native backup/restore GA since v1; no ARM property for schedule state,check_br1_azure_backup
api-management,Posture and Vulnerability Management,PV-3,Define and establish secure configurations for compute resources,This feature is not applicable to secure this service.,Not Applicable,Azure Policy Guest Configuration Agent,Azure Policy guest configuration agent can be installed or deployed as an extension to compute resources.,Not Applicable,Not Applicable,,,,customer,True,script_medium,not_applicable,high,Azure Automation State Configuration is a native Azure feature enabling declarative security configuration management for compute resources.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_pv3_guest_config
api-management,Asset Management,AM-2,Use only approved services,"Use built-in Azure Policy to monitor and enforce secure configuration across API Management resources. Use Azure Policy aliases in the ""Microsoft.ApiManagement"" namespace to create custom Azure Policy definitions where required.",Customer,Azure Policy Support,Service configurations can be monitored and enforced via Azure Policy.,True,False,Azure Policy built-in policy definitions for Azure API Management: https://docs.microsoft.com/azure/api-management/policy-reference,,,customer,False,script_medium,customer,high,Azure Policy and Defender for Cloud natively enforce approved services with deny effects.,applicable,,check_am2_policy
api-management,Privileged Access,PA-7,Follow just enough administration (least privilege) principle,"Use Azure role-based access control (Azure RBAC) for controlling access to Azure API Management. Azure API Management relies on Azure role-based access control to enable fine-grained access management for API Management services and entities (for example, APIs and policies).",Customer,Azure RBAC for Data Plane,Azure Role-Based Access Control (Azure RBAC) can be used to managed access to service's data plane actions.,True,False,How to use Role-Based Access Control in Azure API Management: https://docs.microsoft.com/azure/api-management/api-management-role-based-access-control,,,customer,False,script_simple,customer,high,Native Azure RBAC for Data Box provides least privilege access control via Reader/Contributor roles.,applicable,,check_pa7_rbac_data_plane
api-management,Data Protection,DP-7,Use a secure certificate management process,"Set up integration of API Management with Azure Key Vault. Ensure that secrets for API Management (Named values) are stored an Azure Key Vault so they can be securely accessed and updated.

Use Azure Key Vault to create and control the certificate lifecycle, including creation, importing, rotation, revocation, storage, and purging of the certificate. Ensure the certificate generation follows defined standards without using any insecure properties, such as: insufficient key size, overly long validity period, insecure cryptography. Setup automatic rotation of the certificate in Azure Key Vault and the Azure service (if supported) based on a defined schedule or when there is a certificate expiration. If automatic rotation is not supported in the application, ensure they are still rotated using manual methods in Azure Key Vault and the application.",Customer,Certificate Management in Azure Key Vault,The service supports Azure Key Vault integration for any customer certificates.,True,False,Secure backend services using client certificate authentication in Azure API Management: https://docs.microsoft.com/azure/api-management/api-management-howto-mutual-certificates,,,customer,False,script_medium,customer,high,"API Management natively integrates with Azure Key Vault for certificate management and secret storage, enabling automated compliance checks and remediation",applicable,,check_dp7_cert_kv
api-management,Identity Management,IM-7,Restrict resource access based on  conditions,This feature is not supported to secure this service.,Not Applicable,Conditional Access for Data Plane,Data plane access can be controlled using Azure AD Conditional Access Policies.,False,Not Applicable,,,,not_applicable,False,script_medium,not_applicable,high,Script-medium automation needed for AKS RBAC configuration checks via cluster access and Azure AD conditional access verification.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_im7_conditional_access
api-management,Privileged Access,PA-8,Choose approval process for third-party support,"In support scenarios where Microsoft needs to access your data, use Customer Lockbox to review, then approve or reject each of Microsoft's data access requests.",Shared,Customer Lockbox,Customer Lockbox can be used for Microsoft support access.,True,False,,,,shared,False,script_simple,shared,high,Customer Lockbox state is checkable via Azure API with minimal script.,applicable,,check_pa8_customer_lockbox
api-management,Posture and Vulnerability Management,PV-3,Define and establish secure configurations for compute resources,This feature is not applicable to secure this service.,Not Applicable,Custom Containers Images,Service supports using user-supplied container images or pre-built images from the marketplace with certain baseline configurations pre-applied.,Not Applicable,Not Applicable,,,,customer,True,script_medium,not_applicable,high,Azure Automation State Configuration is a native Azure feature enabling declarative security configuration management for compute resources.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_pv3_custom_containers
api-management,Posture and Vulnerability Management,PV-3,Define and establish secure configurations for compute resources,This feature is not applicable to secure this service.,Not Applicable,Custom VM Images,Service supports using user-supplied VM images or pre-built images from the marketplace with certain baseline configurations pre-applied.,Not Applicable,Not Applicable,,,,customer,True,script_medium,not_applicable,high,Azure Automation State Configuration is a native Azure feature enabling declarative security configuration management for compute resources.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_pv3_custom_vm_images
api-management,Data Protection,DP-5,Use customer-managed key option in data at rest encryption when required,This feature is not applicable to secure this service.,Not Applicable,Data at Rest Encryption Using CMK,Data at-rest encryption using customer-managed keys is supported for customer content stored by the service.,Not Applicable,Not Applicable,,,,not_applicable,False,script_simple,not_applicable,high,Native Azure features enable simple script-based verification and enforcement.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_dp5_cmk
api-management,Data Protection,DP-4,Enable data at rest encryption by default,This feature is not applicable to secure this service.,Not Applicable,Data at Rest Encryption Using Platform Keys,"Data at-rest encryption using platform keys is supported, any customer content at rest is encrypted with these Microsoft managed keys.",Not Applicable,Not Applicable,,,,not_applicable,False,script_simple,not_applicable,high,Customer must configure data at rest encryption with Microsoft-managed keys for services not using it as default.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_dp4_platform_keys
api-management,Data Protection,DP-3,Encrypt sensitive data in transit,No additional configurations are required as this is enabled on a default deployment.,Microsoft,Data in Transit Encryption,Service supports data in-transit encryption for data plane.,True,True,Manage protocols and ciphers in Azure API Management: https://docs.microsoft.com/azure/api-management/api-management-howto-manage-protocols-ciphers,,,microsoft_managed,False,script_simple,microsoft_managed,high,"Azure Virtual WAN enables native encryption for ExpressRoute traffic, allowing automated enforcement via Azure Policy.",applicable,,check_dp3_tls
api-management,Data Protection,DP-2,Monitor anomalies and threats targeting sensitive data,This feature is not supported to secure this service.,Not Applicable,Data Leakage/Loss Prevention,Service supports DLP solution to monitor sensitive data movement (in customer's content).,False,Not Applicable,,,,customer,True,script_simple,not_applicable,high,Defender for Storage is natively available in Defender for Cloud and verifiable via simple Azure API checks,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_dp2_dlp
api-management,Logging and threat detection,LT-1,Enable threat detection capabilities,This feature is not supported to secure this service.,Not Applicable,Microsoft Defender for Service / Product Offering,Service has an offering-specific Microsoft Defender solution to monitor and alert on security issues.,False,Not Applicable,,,,not_applicable,False,script_simple,not_applicable,high,Automated via Azure Defender for Cloud security policies and APIs,now_applicable_native,Defender for APIs GA Dec 2023 via SecurityCenter.pricings ApiManagement,check_lt1_defender
api-management,Network Security,NS-2,Secure cloud services with network controls,Disable public network access either using the IP ACL filtering rule on the NSGs assigned to the service's subnets or a toggling switch for public network access.,Customer,Disable Public Network Access,Service supports disabling public network access either through using service-level IP ACL filtering rule (not NSG or Azure Firewall) or using a 'Disable Public Network Access' toggle switch.,True,False,Disable Public Network Access: https://docs.microsoft.com/azure/api-management/private-endpoint#optionally-disable-public-network-access,,"API Management supports deployments into a virtual network, as well as locking down non-network-based deployments with a private endpoint and disabling public network access.",customer,False,script_simple,customer,high,"Customer must configure NSG rules for Azure-SSIS IR to restrict port 3389, enforceable via Azure Policy.",applicable,,check_ns2_disable_public
api-management,Endpoint security,ES-1,Use Endpoint Detection and Response (EDR),This feature is not applicable to secure this service.,Not Applicable,EDR Solution,Endpoint Detection and Response (EDR) feature such as Azure Defender for servers can be deployed into the endpoint.,Not Applicable,Not Applicable,,,,customer,True,script_simple,not_applicable,high,Azure Defender for servers provides native EDR capability and can be enabled at the subscription level for all VM workloads.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_es1_edr
api-management,Data Protection,DP-6,Use a secure key management process,Set up integration of API Management with Azure Key Vault. Ensure that keys used by API Management are stored an Azure Key Vault so they can be securely accessed and updated.,Customer,Key Management in Azure Key Vault,"The service supports Azure Key Vault integration for any customer keys, secrets, or certificates.",True,False,Prerequisites for key vault integration: https://docs.microsoft.com/azure/api-management/api-management-howto-properties?tabs=azure-portal#prerequisites-for-key-vault-integration,,,customer,False,script_medium,customer,high,Azure Key Vault is a native Azure service enabling automated key management compliance checks for services supporting CMK.,applicable,,check_dp6_key_mgmt
api-management,Privileged Access,PA-1,Separate and limit highly privileged/administrative users,"If not required for routine administrative operations, disable or restrict any local admin accounts for only emergency use.",Customer,Local Admin Accounts,Service has the concept of a local administrative account.,True,False,How to manage user accounts in Azure API Management: https://docs.microsoft.com/azure/api-management/api-management-howto-create-or-invite-developers,"Avoid the usage of local authentication methods or accounts, these should be disabled wherever possible. Instead use Azure AD to authenticate where possible.","API Management allows creation of local user account. Instead of creating these local accounts, enable Azure Active Directory (Azure AD) authentication only, and assign permissions to these Azure AD accounts.",customer,False,script_medium,customer,high,Native Azure Policy and Azure AD PIM enable automated enforcement and verification of privileged access restrictions across most services.,applicable,,check_pa1_local_admin
api-management,Identity Management,IM-1,Use centralized identity and authentication system,"Restrict the use of local authentication methods for data plane access, maintain inventory of API Management user accounts and reconcile access as needed. In API Management, developers are the consumers of the APIs that exposed with API Management. By default, newly created developer accounts are Active, and associated with the Developers group. Developer accounts that are in an active state can be used to access all of the APIs for which they have subscriptions.

Also, Azure API Management subscriptions are one means of securing access to APIs and come with a pair of generated subscription keys which support rotation.

Instead of using other auth methods, where possible use Azure Active Directory (Azure AD) as the default authentication method to control your data plane access.",Customer,Local Authentication Methods for Data Plane Access,"Local authentications methods supported for data plane access, such as a local username and password.",True,False,Authenticate with Basic: https://docs.microsoft.com/azure/api-management/api-management-authentication-policies#Basic,"Avoid the usage of local authentication methods or accounts, these should be disabled wherever possible. Instead use Azure AD to authenticate where possible.",,customer,False,script_simple,customer,high,Compliance verification via Azure API Management portal settings property check.,applicable,,check_im1_local_auth
api-management,Identity Management,IM-3,Manage application identities securely and automatically,"Use a Managed Service Identity generated by Azure Active Directory (Azure AD) to allow your API Management instance to easily and securely access other Azure AD-protected resources, such as Azure Key Vault instead of using service principals. Managed identity credentials are fully managed, rotated, and protected by the platform, avoiding hard-coded credentials in source code or configuration files.",Customer,Managed Identities,Data plane actions support authentication using managed identities.,True,False,Authenticate with managed identity: https://docs.microsoft.com/azure/api-management/api-management-authentication-policies#ManagedIdentity,,,customer,False,script_medium,customer,high,IoT Central Service Principal assignment can be automated via Microsoft Graph API for identity management compliance.,applicable,,check_im3_managed_identities
api-management,Network Security,NS-1,Establish network segmentation boundaries,"Deploy network security groups (NSG) to your API Management subnets to restrict or monitor traffic by port, protocol, source IP address, or destination IP address. Create NSG rules to restrict your service's open ports (such as preventing management ports from being accessed from untrusted networks). Be aware that by default, NSGs deny all inbound traffic but allow traffic from virtual network and Azure Load Balancers.

Caution: When configuring an NSG on the API Management subnet, there are a set of ports that are required to be open. If any of these ports are unavailable, API Management may not operate properly and may become inaccessible.",Customer,Network Security Group Support,Service network traffic respects Network Security Groups rule assignment on its subnets.,True,False,Virtual network configuration reference: API Management: https://docs.microsoft.com/azure/api-management/virtual-network-reference,,[Configure NSG rules for API Management](https://docs.microsoft.com/azure/api-management/api-management-using-with-vnet#configure-nsg-rules),customer,False,script_medium,customer,high,"Azure Policy natively enforces VNet integration requirements for App Service, enabling fully automated compliance checks and remediation.",applicable,,check_ns1_nsg
api-management,Network Security,NS-2,Secure cloud services with network controls,"In instances where you are unable to deploy API Management instances into a virtual network, you should instead deploy a private endpoint to establish a private access point for those resources.",Customer,Azure Private Link,Service native IP filtering capability for filtering network traffic (not to be confused with NSG or Azure Firewall).,True,False,Connect privately to API Management using a private endpoint: https://docs.microsoft.com/azure/api-management/private-endpoint,,"To enable private endpoints, the API Management instance can't already be configured with an external or internal virtual network. A private endpoint connection supports only incoming traffic to the API Management instance.",customer,False,script_simple,customer,high,"Customer must configure NSG rules for Azure-SSIS IR to restrict port 3389, enforceable via Azure Policy.",applicable,,check_ns2_private_link
api-management,Logging and threat detection,LT-4,Enable network logging for security investigation,"Enable resource logs for API Management, resource logs provide rich information about operations and errors that are important for auditing and troubleshooting purposes. Categories of resource logs for API Management include:

- GatewayLogs
- WebSocketConnectionLogs",Customer,Azure Resource Logs,Service produces resource logs that can provide enhanced service-specific metrics and logging. The customer can configure these resource logs and send them to their own data sink like a storage account or log analytics workspace.,True,False,APIM Resource Logs: https://docs.microsoft.com/azure/api-management/api-management-howto-use-azure-monitor#resource-logs,,,customer,False,script_simple,customer,high,Native Azure Policy enables automated enforcement of network logging like NSG flow logs with simple compliance checks.,applicable,,check_lt4_resource_logs
api-management,Data Protection,DP-1,"Discover, classify, and label sensitive data",This feature is not supported to secure this service.,Not Applicable,Sensitive Data Discovery and Classification,Tools (such as Azure Purview or Azure Information Protection) can be used for data discovery and classification in the service.,False,Not Applicable,,,,not_applicable,False,script_simple,not_applicable,high,Native Microsoft Purview enables simple automation to verify data classification implementation via Azure CLI,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_dp1_sensitive_data
api-management,Identity Management,IM-3,Manage application identities securely and automatically,There is no current Microsoft guidance for this feature configuration. Please review and determine if your organization wants to configure this security feature.,Customer,Service Principals,Data plane supports authentication using service principals.,True,False,,,,customer,False,script_medium,customer,high,IoT Central Service Principal assignment can be automated via Microsoft Graph API for identity management compliance.,applicable,,check_im3_service_principals
api-management,Network Security,NS-1,Establish network segmentation boundaries,"Deploy Azure API Management inside an Azure Virtual Network (VNET), so it can access backend services within the network. The developer portal and API Management gateway can be configured to be accessible either from the Internet (External) or only within the Vnet (Internal).

- External: the API Management gateway and developer portal are accessible from the public internet via an external load balancer. The gateway can access resources within the virtual network.
   - [External Virtual Network Configuration](https://docs.microsoft.com/azure/api-management/api-management-using-with-vnet)
- Internal: the API Management gateway and developer portal are accessible only from within the virtual network via an internal load balancer. The gateway can access resources within the virtual network.
   - [Internal Virtual Network Configuraiton](https://docs.microsoft.com/azure/api-management/api-management-using-with-internal-vnet)",Customer,Virtual Network Integration,Service supports deployment into customer's private Virtual Network (VNet).,True,False,Use a virtual network with Azure API Management: https://docs.microsoft.com/azure/api-management/virtual-network-concepts,,,customer,False,script_medium,customer,high,"Azure Policy natively enforces VNet integration requirements for App Service, enabling fully automated compliance checks and remediation.",applicable,,check_ns1_vnet
api-management,Posture and Vulnerability Management,PV-5,Perform vulnerability assessments,This feature is not applicable to secure this service.,Not Applicable,Vulnerability Assessment using Microsoft Defender,"Service can be scanned for vulnerability scan using Microsoft Defender for Cloud or other Microsoft Defender services embedded vulnerability assessment capability (including Microsoft Defender for server, container registry, App Service, SQL, and DNS).",Not Applicable,Not Applicable,,,,not_applicable,False,script_simple,not_applicable,high,"Defender for Cloud enables vulnerability assessments with simple automation via Azure Policy for VMs, SQL servers, and container images.",still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_pv5_defender_va
api-management,Network Security,NS-6,Deploy web application firewall,"To protect critical Web/HTTP APIs configure API Management within a Virtual Network (VNET) in internal mode and configure an Azure Application Gateway. Application Gateway is a PaaS service. It acts as a reverse-proxy and provides L7 load balancing, routing, web application firewall (WAF), and other services. [Learn more](https://docs.microsoft.com/azure/api-management/api-management-howto-integrate-internal-vnet-appgateway).

Combining API Management provisioned in an internal VNET with the Application Gateway frontend enables the following scenarios:

- Use a single API Management resource for exposing all APIs to both internal consumers and external consumers.
- Use a single API Management resource for exposing a subset of APIs to external consumers.
- Provide a way of switching access to API Management from the public Internet on and off.",Customer,No Related Feature,No Related Feature,No Related Feature,No Related Feature,No Related Feature,No Related Feature,This feature is available in the Premium and Developer tiers of API Management.,customer,False,script_simple,customer,high,App Service public network access configuration enables simple automated validation,applicable,,check_ns6_no_feature
api-management,Data Protection,DP-3,Encrypt sensitive data in transit,"Management plane calls are made through Azure Resource Manager over TLS. A valid JSON web token (JWT) is required. Data plane calls can be secured with TLS and one of supported authentication mechanisms (for example, client certificate or JWT).",Customer,No Related Feature,No Related Feature,No Related Feature,No Related Feature,No Related Feature,No Related Feature,,customer,False,script_simple,customer,high,"Azure Virtual WAN enables native encryption for ExpressRoute traffic, allowing automated enforcement via Azure Policy.",applicable,,check_dp3_no_feature
api-management,Identity Management,IM-5,Use single sign-on (SSO) for application access,"Azure API Management can be configured to leverage Azure Active Directory (Azure AD) as an identity provider for authenticating users on the Developer Portal in order to benefit from the SSO capabilities offered by Azure AD. Once configured, new Developer Portal users can choose to follow the out-of-the-box sign-up process by first authenticating through Azure AD and then completing the sign-up process on the portal once authenticated.

Alternatively, the sign-in/sign-up process can be further customized through delegation. Delegation allows you to use your existing website for handling developer sign in/sign up and subscription to products, as opposed to using the built-in functionality in the developer portal. It enables your website to own the user data and perform the validation of these steps in a custom way.",Customer,No Related Feature,No Related Feature,No Related Feature,No Related Feature,No Related Feature,No Related Feature,,customer,False,script_simple,customer,high,API Management developer portal authentication settings can be verified via ARM API for Azure AD configuration,applicable,,check_im5_no_feature
